"lfdnr";"lfdnr2";"Finanzposition";"Bezeichnung";"EinAus";"Teilabschnitt";"RQ";"FG";"SN";"AOB";"AnfZahlungsrueckstand";"LaufendesSoll";"GesamtSoll";"Ist";"SchliesslicheRueckstaende";"Voranschlag";"NachtragsVoranschlage";"GesamtVoranschlag";"UnterschiedLFDSollGesamtVAGuenstiger";"UnterschiedLFDSollGesamtVAUnguenstiger";"zahl";"pol1";"pol2";"pol3";"pol4";"pol5";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"polAgg3";"ecoAgg3";"polAgg5";"ecoAgg6";"year"
"9363";9363;"6.81500.298102";"RÜCKLAGEN ENTNAHME AUSGLEICHSRÜCKLAGE";"EINNAHME";81500;51;9;"D";"0800";"     176518.76";"          0.00";"     176518.76";"     176518.76";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"8";"1";"5";"0";"0";"2";"9";"8";"1";"0";"2";"815";"298";"81500";"298102";"2011"
"9364";9364;"6.81500.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";81500;55;9;"D";"0800";"          0.00";"     293004.68";"     293004.68";"     293004.68";"          0.00";"     545000.00";"     278500.00";"     823500.00";"          0.00";"     530495.32-";"6";"8";"1";"5";"0";"0";"3";"4";"6";"0";"0";"0";"815";"346";"81500";"346000";"2011"
"9365";9365;"6.81500.870001";"KAP.TRANSFERZ. VON BUND, BUNDESFONDS U. -KAMMERN";"EINNAHME";81500;33;3;"D";"1005";"          0.00";"      15444.00";"      15444.00";"      15444.00";"          0.00";"      15500.00";"          0.00";"      15500.00";"          0.00";"         56.00-";"6";"8";"1";"5";"0";"0";"8";"7";"0";"0";"0";"1";"815";"870";"81500";"870001";"2011"
"9366";9366;"6.81500.871001";"KAP.TRANSFERZ. VON LÄNDERN, LANDESFONDS U. -KAMMER";"EINNAHME";81500;33;1;"D";"1005";"     234151.26";"          0.00";"     234151.26";"          0.00";"     234151.26";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"8";"1";"5";"0";"0";"8";"7";"1";"0";"0";"1";"815";"871";"81500";"871001";"2011"
"9367";9367;"6.81500.889100";"KAP.TRANSFERZAHLUNGEN VON DER EUROPÄISCHEN UNION URBAN PLUS - MASTERPLAN MUR";"EINNAHME";81500;33;1;"D";"1005";"      17219.05";"     126010.83";"     143229.88";"          0.00";"     143229.88";"     150000.00";"       7600.00";"     157600.00";"          0.00";"      31589.17-";"6";"8";"1";"5";"0";"0";"8";"8";"9";"1";"0";"0";"815";"889";"81500";"889100";"2011"
"9368";9368;"6.81500.889700";"KAP.TRANSFERZAHLUNGEN VON DER EUROPÄISCHEN UNION CITY NETWORK GRAZ - MARIBOR";"EINNAHME";81500;33;1;"D";"1005";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"     100000.00";"     100000.00";"          0.00";"     100000.00-";"6";"8";"1";"5";"0";"0";"8";"8";"9";"7";"0";"0";"815";"889";"81500";"889700";"2011"
"9369";9369;"6.81600.298102";"RÜCKLAGEN ENTNAHME AUSGLEICHSRÜCKLAGE";"EINNAHME";81600;51;9;"D";"0800";"     273201.24";"          0.00";"     273201.24";"     273201.24";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"8";"1";"6";"0";"0";"2";"9";"8";"1";"0";"2";"816";"298";"81600";"298102";"2011"
"9370";9370;"6.81600.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";81600;55;9;"D";"0800";"          0.00";"     382349.54";"     382349.54";"     382349.54";"          0.00";"     230000.00";"      41400.00";"     271400.00";"     110949.54-";"          0.00";"6";"8";"1";"6";"0";"0";"3";"4";"6";"0";"0";"0";"816";"346";"81600";"346000";"2011"
"9371";9371;"6.83100.870001";"KAP.TRANSFERZ. VON BUND, BUNDESFONDS U. -KAMMERN";"EINNAHME";83100;33;1;"D";"BD00";"    5433000.00";"          0.00";"    5433000.00";"    1400000.00";"    4033000.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"8";"3";"1";"0";"0";"8";"7";"0";"0";"0";"1";"831";"870";"83100";"870001";"2011"
"9372";9372;"6.83100.871001";"KAP.TRANSFERZ. VON LÄNDERN, LANDESFONDS U. -KAMMER";"EINNAHME";83100;33;1;"D";"BD00";"    6200833.33";"          0.00";"    6200833.33";"    6200833.33";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"8";"3";"1";"0";"0";"8";"7";"1";"0";"0";"1";"831";"871";"83100";"871001";"2011"
